Plant,Event Date,Description,Result,ASP Report
La Crosse,7/19/1986,LOOP due to lightning strike,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K393.pdf
St. Lucie 2,7/9/1986,Two EDGs fail during testing,3.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A251.pdf
Fort Calhoun,7/2/1986,Inverter failure leads to reactor trip and TBV unavailability,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K340.pdf
Catawba 2,6/27/1986,Reactor trip occurs during MCR/shutdown panel test and  valve labeling errors leads to HPI unavailability,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A498.pdf
Catawba 1,6/13/1986,CVCS system leak (130 gpm) from the CCW/CVCS heat exchanger joint,3.00E-03,https://www.nrc.gov/docs/ML2014/ML20147A495.pdf
Indian Point 2,5/28/1986,Open TBVs cause reactor trip with subsequent failure of SI train to actuate,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K385.pdf
Oconee 1,1/31/1986,"Reactor trip, subsequent loss of feedwater, and failure of secondary relief valve to close",2.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K487.pdf
Robinson,1/28/1986,Bus failure leads to LOOP with an EDG unavailable and operator error leads to HPI pump unavailability,3.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A203.pdf
Peach Bottom 2,1/24/1986,EDG fails during testing causing reactor trip due MSIV closure,8.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A123.pdf
River Bend,1/1/1986,Radio interference leads to LOOP,7.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A198.pdf
Rancho Seco,12/26/1985,"Integrated control system failure leads to overcooling and rapid primary and secondary depressurization, and operator error leads to failure of HPI pump",2.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A196.pdf
Dresden 2,12/13/1985,Two EDGs unavailable,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A538.pdf
Indian Point 2,12/12/1985,LOOP with failure of MDAFW pump failure,6.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K384.pdf
Grand Gulf,12/3/1985,Loss of feedwater leads to reactor trip with HPCS unavailable,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K344.pdf
San Onofre 1,11/21/1985,Ground fault leads to partial LOOP and subsequent reactor trip and feedwater valve failures lead to loss of feedwater and AFW flow diversion,9.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A217.pdf
Hatch 2,11/5/1985,Reactor trip due to condensate booster pump/feedwater pump trip with subsequent failure of RCIC,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K377.pdf
Brunswick 1,11/2/1985,Operator error leads to reactor trip with subsequent RCIC failure and EDG problems,6.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A469.pdf
Nine Mile Point 1,11/1/1985,Reactor trip with failure HPCI and an SRV fails to open,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K472.pdf
Fitzpatrick,10/29/1985,Valve failure leads to HPCI unavailability while RCIC out for  maintenance,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K335.pdf
La Crosse,10/22/1985,LOOP,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K392.pdf
Palo Verde 1,10/7/1985,Multiplexer failure during maintenance caused a LOOP while plant in mode 3,3.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A119.pdf
Palo Verde 1,10/3/1985,Multiplexer failure leads to LOOP,3.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A118.pdf
Millstone 1,9/27/1985,LOOP caused by Hurricane Gloria while the plant was shutdown,3.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K468.pdf
Pilgrim,9/19/1985,LPCI unavailable,1.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A137.pdf
Oconee 3,8/28/1985,LOOP while shutdown,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K490.pdf
Salem 2,8/27/1985,Degraded CCW flow,7.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A213.pdf
Dresden 2,8/16/1985,LOOP and subsequent failure of isolation condenser,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A537.pdf
Turkey Point 3,7/21/1985,Lightning strike causes reactor trip and TDAFW fails during recovery after feedwater bypass,9.00E-04,https://www.nrc.gov/docs/ML2016/ML20161A163.pdf
Trojan,7/20/1985,Reactor trip with subsequent loss of feedwater and rupture due to water hammer,2.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A153.pdf
Brunswick 1,7/15/1985,Reactor trip with RCIC inoperable,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A364.pdf
Farley 2,7/15/1985,Lightning strike causes reactor trip with a subsequent loss of main condenser,5.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K332.pdf
Catawba 1,6/22/1985,Loss of condenser vacuum leads to reactor trip with the failure of two secondary relief valves to open,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A494.pdf
Catawba 1,6/13/1985,RCS leakage and feedwater pump trip leads to reactor trip with failure of three secondary relief valves to open,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A493.pdf
Oyster Creek,6/12/1985,MSIV closure causes reactor trip with subsequent scram discharge volume failure,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K492.pdf
Davis-Besse,6/9/1985,"Loss of feedwater results in reactor trip, operator error fails AFW, and a PORV fails open",1.00E-02,https://www.nrc.gov/docs/ML2014/ML20147A531.pdf
Wolf Creek,6/9/1985,Loss of feedwater leads to reactor trip with failure of TDAFW pump,4.00E-06,https://www.nrc.gov/docs/ML2016/ML20161A175.pdf
Peach Bottom 2,6/3/1985,One loop of RHR and LPCI unavailable,4.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A122.pdf
Brunswick 1,6/7/1985,Reactor trip with a subsequent failure of RCIC,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A362.pdf
LaSalle 1,5/31/1985,CW expansion joint failure leads to reactor trip,7.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K400.pdf
Turkey Point 4,5/17/1985,Grid-related LOOP caused by brush fires,4.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A168.pdf
Hatch 1,5/15/1985,"HVAC water shorts panel causing SRV to fail open, HPCI failure, and RCIC unavailable",2.00E-03,https://www.nrc.gov/docs/ML2014/ML20149K356.pdf
Calvert Cliffs 2,4/25/1985,Degraded RCP seal leads to reactor trip with stuck-open secondary relief valve,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A489.pdf
Oconee 1,4/25/1985,Inverter failure results in reactor trip with a stuck-open main steam relief valve,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K486.pdf
Oconee 1,4/11/1985,Turbine intercept valves failure results in reactor trip with two stuck-open main steam relief valves,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K485.pdf
Catawba 1,3/14/1985,Both EDGs unavailable,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A492.pdf
Trojan,3/9/1985,Reactor trip and subsequent failure of both AFW pumps,4.00E-04,https://www.nrc.gov/docs/ML2016/ML20161A154.pdf
McGuire 1,1/28/1985,Reactor trip with stuck open secondary relief valve and check valve failure leads to unavailability of TDAFW pump,5.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K407.pdf
LaSalle 1,2/8/1985,Operator error leads to loss of feedwater with subsequent reactor trip and RCIC failure,5.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K399.pdf
Oconee 1,1/22/1985,Intercept valve closure leads to reactor scram and two main steam relief valves fail to close,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K484.pdf
Browns Ferry 1,1/16/1985,Feedwater pump trip leads to reactor trip with RCIC failure,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A352.pdf
Hatch 1,1/6/1985,Loss of vital power supply leads to reactor trip and subsequent failures of RCIC and HPCI during recovery,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K355.pdf
Davis-Besse,1/15/1985,Feedwater isolation during physics testing leads to reactor trip with failure of TDAFW pump,3.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A530.pdf
Browns Ferry 3,12/9/1984,Condensate pump failure leads to CRD pump unavailability and subsequent reactor trip,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A357.pdf
North Anna 2,12/9/1984,Two EDGs unavailable,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K482.pdf
Millstone 2,11/28/1984,Feedwater heater leak leads to reactor trip with degraded AFW flow,3.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K470.pdf
Brunswick 2,11/27/1984,Reactor trip with RCIC and a train of LPCI unavailable with  subsequent water hammer event renders a loop of RHR unavailable,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A474.pdf
St. Lucie 2,11/21/1984,Reactor trip and subsequent failure of the TDAFW pump,2.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A250.pdf
Indian Point 3,11/16/1984,LOOP with two EDGs unavailable while plant was shutdown,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K388.pdf
Browns Ferry 3,11/20/1984,Manual reactor scram during test preparation with HPCI unavailable,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A356.pdf
North Anna 1,11/14/1984,Inverter failure leads to reactor trip with subsequent failure of AFW pump,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K475.pdf
Trojan,9/26/1984,Open SG relief valves lead to reactor trip,1.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A152.pdf
Quad Cities 2,10/25/1984,Reactor trip with subsequent failure of RCIC,9.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A149.pdf
LaSalle 1,9/21/1984,Operator error causes scram with RCIC and RHR unavailable,2.00E-03,https://www.nrc.gov/docs/ML2014/ML20149K398.pdf
Davis-Besse,9/11/1984,Reactor trip with failure of SG relief valve,4.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A529.pdf
McGuire 1,8/21/1984,Switchyard computer failure causes LOOP,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K406.pdf
Browns Ferry 1,8/14/1984,Multiple errors lead to over-pressurization of LPCS piping,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A351.pdf
Brunswick 1,8/1/1984,Reactor trip during HPCI testing and a MSIV fails to close,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A366.pdf
Quad Cities 1,8/8/1984,LPCI injections valves fail to fully open,7.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A144.pdf
Susquehanna 2,7/26/1984,TBV fails open during low-power testing leading to manual reactor trip with LPCI outboard isolation valve failure,3.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A267.pdf
Salem 1,7/16/1984,Unavailability of HPI pumps due to common-cause,7.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A209.pdf
La Crosse,7/16/1984,LOOP with subsequent failure of EDG output breaker with HPCS pump in maintenance,9.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K391.pdf
Duane Arnold,7/14/1984,LOOP due to degraded grid with subsequent failure of HPCI,7.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A548.pdf
Duane Arnold,6/7/1984,Operator error causes loss of feedwater and subsequent reactor trip with SRV opening due to unrelated error,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A547.pdf
Browns Ferry 1,6/27/1984,Inadvertent SRV opening leads to reactor trip,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A349.pdf
Susquehanna 2,5/27/1984,EDGs fail to load during LOOP test due to bus feeder breakers failing to open results in SBO,2.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A268.pdf
Grand Gulf,5/25/1984,Reactor trip with failure of RCIC,6.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K343.pdf
Surry 1,5/18/1984,CCW isolated from HPI pump seal coolers,1.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A256.pdf
LaSalle 2,5/17/1984,Loss of feedwater leads to reactor trip with HPCS unavailable,4.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K401.pdf
Sequoyah 1,5/11/1984,SG relief valves spuriously lifts leading to a reactor trip,5.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A232.pdf
Davis-Besse,3/28/1984,"MSIV closure leads to reactor trip and subsequent isolation and dry out of a SG, AFW valve failure, and failure of a main steam relief valve to close",1.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A528.pdf
Brunswick 1,3/31/1984,Reactor trip due loss of feedwater and subsequent failure of the HPCI pump to start,3.00E-04,https://www.nrc.gov/docs/ML2014/ML20147A365.pdf
Rancho Seco,3/19/1984,Hydrogen explosion leads to reactor trip with subsequent partial loss of NNI power and PORV/SRV openings,2.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A195.pdf
Zion 2,2/17/1984,Failure of EDG to start while testing with two AFW pumps out of service,4.00E-05,https://www.nrc.gov/docs/ML2016/ML20168A746.pdf
Susquehanna 1,2/25/1984,SRV fails open during testing after manual scram,1.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A265.pdf
St. Lucie 2,2/9/1984,Reactor trip due to loss of feedwater and subsequent failure of an AFW pump with a stuck open SG relief valve,2.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A249.pdf
Fitzpatrick,2/7/1984,RCIC fails during testing while HPCI in maintenance,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K334.pdf
Calvert Cliffs 1,12/30/1983,Reactor trip with the MDAFW pump inoperable,8.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A485.pdf
Hatch 1,12/28/1983,Reactor trip with HPCI inoperable,7.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K354.pdf
Sequoyah 1,12/9/1983,One EDG and TDAFW pump inoperable,3.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A225.pdf
Peach Bottom 2,12/23/1983,Reactor trip with two RHRSW pumps inoperable,7.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A121.pdf
Crystal River,11/22/1983,Reactor trip with TDAFW pump inoperable,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A517.pdf
Browns Ferry 2,11/10/1983,Reactor trip with subsequent failure of HPCI,3.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A353.pdf
Calvert Cliffs 2,11/7/1983,Reactor trip with one LPI pump inoperable,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A488.pdf
Surry 2,11/18/1983,Reactor trip with AFW pump inoperable,4.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A259.pdf
San Onofre 3,10/31/1983,Reactor trip with TDAFW pump inoperable,2.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A219.pdf
Oconee 3,10/13/1983,Reactor trip due to loss feedwater and one AFW pump inoperable due loss of cooling water,3.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K489.pdf
LaSalle 1,9/30/1983,Reactor trip with RHR heat exchanger outlet valve failure,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K397.pdf
Cooper,9/15/1983,Reactor trip with HPCI unavailable,6.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A512.pdf
Pilgrim,9/23/1983,Reactor trip with HPCI inoperable,5.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A136.pdf
Susquehanna 1,8/28/1983,Reactor trip with RCIC system unavailable,1.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A264.pdf
Hatch 1,8/25/1983,HPCI and RCIC unavailabilities lead to manual scram,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K353.pdf
Hatch 2,8/17/1983,Reactor trip with RHR heat exchanger unavailable,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K376.pdf
Peach Bottom 3,9/8/1983,Two EDGs inoperable,4.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A126.pdf
Trojan,8/20/1983,Reactor trip with diesel-driven AFW pump unavailable,3.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A151.pdf
Calvert Cliffs 1,8/16/1983,One EDG and TDAFW pump inoperable,6.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A484.pdf
Susquehanna 1,8/2/1983,Reactor trip with HPCI pump failed,6.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A263.pdf
Salem 2,8/1/1983,Reactor trip with vital bus de-energized,1.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A212.pdf
Hatch 2,7/31/1983,Reactor trip with HPCI unavailable,6.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K375.pdf
Salem 1,8/11/1983,Trip with automatic reactor trip capability failed,5.00E-03,https://www.nrc.gov/docs/ML2015/ML20156A207.pdf
St. Lucie 2,7/28/1983,Reactor trip with EDG failure and TDAFW pump unavailable,4.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A248.pdf
Davis-Besse,7/25/1983,Reactor trip with AFW pump inoperable,8.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A527.pdf
Hatch 2,7/14/1983,Reactor trip with RCIC and RHR heat exchanger unavailable,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K362.pdf
Sequoyah 1,7/11/1983,Reactor trip with AFW pump unavailable,6.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A224.pdf
Pilgrim,7/2/1983,Reactor trip with HPCI inoperable,5.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A135.pdf
D.C. Cook 2,6/23/1983,Loss of vital instrument and control bus and subsequent reactor trip,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A523.pdf
Susquehanna 1,7/7/1983,Reactor trip with RCIC system unavailable,1.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A262.pdf
San Onofre 2,6/21/1983,Reactor trip with MDAFW pump inoperable,1.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A218.pdf
ANO 1,6/9/1983,Reactor trip with AFW pump inoperable,5.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A333.pdf
ANO 1,6/16/1983,Reactor trip with one HPI valve failed,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A334.pdf
Dresden 2,6/8/1983,"Multiple reactor trips with a train of core spray, LPCI, and/or shutdown cooling inoperable",3.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A536.pdf
LaSalle 1,6/1/1983,Reactor trip with RCIC inoperable,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K396.pdf
Sequoyah 1,5/31/1983,Reactor trip with an AFW pump unavailable,1.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A223.pdf
Sequoyah 1,4/21/1983,One of two PORVs failed to open,2.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A222.pdf
Summer,5/31/1983,Reactor trip with TDAFW pump inoperable,5.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A254.pdf
Duane Arnold,5/23/1983,HPCI and RHRSW inoperable,2.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A546.pdf
Robinson,4/19/1983,Reactor trip with an AFW pump and a pressurizer PORV inoperable,9.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A202.pdf
Turkey Point 3,4/19/1983,All AFW pumps unavailable,6.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A162.pdf
Susquehanna 1,3/22/1983,Reactor trip with RCIC system unavailable,1.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A261.pdf
Summer,3/17/1983,Both RHR trains and one HPI train inoperable,1.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A253.pdf
Indian Point 2,3/8/1983,Reactor trip with TDAFW pump inoperable,4.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K383.pdf
Salem 1,2/22/1983,Clogged circulating water screens causes reactor trip and subsequent LOOP and TDAFW pump failure,1.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A208.pdf
Beaver Valley 1,2/18/1983,Reactor trip with TDAFW pump inoperable,6.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A344.pdf
ANO 2,2/14/1983,Reactor trip with a failure of the TDAFW pump,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A339.pdf
Pilgrim,2/13/1983,LOOP from salt buildup during heavy storms,1.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A134.pdf
Browns Ferry 1,2/5/1983,Reactor trip with failure of SRV to reclose and its vacuum breaker fails to open,4.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A348.pdf
Surry 2,2/11/1983,Reactor trip with TDAFW pump inoperable,4.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A258.pdf
Zion 2,1/31/1983,Two EDGs unavailable,5.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A182.pdf
Peach Bottom 3,1/26/1983,Reactor trip with HPCI inoperable and subsequent loss of all power to safety bus,3.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A125.pdf
Maine Yankee,1/25/1983,Reactor trip and subsequent feedwater line break results in degraded AFW flow,9.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K403.pdf
Trojan,1/22/1983,Reactor trip with two AFW pumps unavailable,1.00E-04,https://www.nrc.gov/docs/ML2016/ML20161A150.pdf
Salem 2,1/6/1983,Reactor trip with a failure of a trip breaker to open,4.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A211.pdf
D.C. Cook 2,12/29/1982,Unavailability of SI train,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A522.pdf
Susquehanna 1,12/22/1982,Reactor trip with failure two ESW pumps,4.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A260.pdf
St. Lucie 1,11/26/1982,LOOP,3.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A246.pdf
Salem 2,10/19/1982,Reactor trip with two charging pumps inoperable,1.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A210.pdf
Zion 1,10/15/1982,Two EDGs inoperable,4.00E-06,https://www.nrc.gov/docs/ML2016/ML20161A176.pdf
Pilgrim,9/30/1982,RCIC and HPCI suction valves inoperable,6.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A133.pdf
Brunswick 2,10/10/1982,Reactor trip with ABT failure and EDG output breaker failure causing the loss of all power to a safety bus,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A473.pdf
Quad Cities 2,10/1/1982,LOOP and subsequent failure of the swing EDG,1.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A145.pdf
Hatch 1,9/24/1982,HPCI failure with RCIC unavailable due to maintenance,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K352.pdf
North Anna 2,9/5/1982,Reactor trip with one LPI pump inoperable,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K481.pdf
St. Lucie 1,9/2/1982,Reactor trip due to inadvertent SI and loss of power to vital buses,6.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A247.pdf
Calvert Cliffs 1,8/31/1982,Reactor trip with one TDAFW pump inoperable,2.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A483.pdf
LaSalle 1,8/30/1982,Reactor trip with RCIC and CRD systems inoperable,6.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K395.pdf
Salem 1,8/31/1982,Reactor trip with one charging pump inoperable,1.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A206.pdf
Prairie Island 1,8/27/1982,Two EDGs simultaneously inoperable for 1.5 hours,2.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A141.pdf
Hatch 2,8/25/1982,Two RHRSW loops unavailable,8.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K361.pdf
D.C. Cook 2,8/24/1982,Loss of vital instrument and control bus and subsequent reactor trip with failed HPI train,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A521.pdf
LaSalle 1,8/21/1982,Reactor trip with subsequent failure of recirculation pump seals with RCIC and CRD unavailable/degraded,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K394.pdf
Hatch 2,8/17/1982,Three RHRSW pumps failed,2.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K360.pdf
Vermont Yankee,8/19/1982,Reactor trip with HPCI inoperable,6.00E-06,https://www.nrc.gov/docs/ML2016/ML20161A170.pdf
Hatch 2,8/13/1982,MSIV isolation causes reactor trip with subsequent LOCA via scram discharge volume with RCIC inoperable,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20149K359.pdf
Pilgrim,8/13/1982,Reactor trip with subsequent HPCI failure,3.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A132.pdf
Zion 1,8/11/1982,Two EDGs inoperable,1.00E-06,https://www.nrc.gov/docs/ML2016/ML20161A177.pdf
Hatch 1,8/5/1982,Both HPCI and RCIC unavailable,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K351.pdf
Salem 1,7/31/1982,Reactor trip with one AFW pump and one EDG inoperable,1.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A205.pdf
Beaver Valley 1,7/18/1982,Trip with two CCW pumps inoperable,4.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A343.pdf
Salem 1,6/26/1982,Reactor trip with two charging pumps inoperable,1.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A204.pdf
Quad Cities 2,6/24/1982,Reactor trip with HPCI pump inoperable,5.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A147.pdf
Quad Cities 2,6/22/1982,HPCI and one EDG inoperable,4.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A148.pdf
Quad Cities 1,6/22/1982,Reactor trip with RHRSW train inoperable,2.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A143.pdf
McGuire 1,6/13/1982,Loss of vital instrument and control bus and subsequent reactor trip,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K405.pdf
Crystal River,6/8/1982,Reactor trip with one RHR train inoperable,5.00E-06,https://www.nrc.gov/docs/ML2014/ML20147A516.pdf
Turkey Point 3,6/9/1982,Reactor trip with HPI pump inoperable,3.00E-06,https://www.nrc.gov/docs/ML2016/ML20161A161.pdf
Farley 2,5/19/1982,Reactor trip with an HPI pump inoperable,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K331.pdf
Indian Point 2,5/17/1982,Reactor trip with two AFW pumps inoperable,1.00E-04,https://www.nrc.gov/docs/ML2014/ML20149K382.pdf
North Anna 1,4/16/1982,Reactor trip with one AFW pump inoperable,1.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K474.pdf
Quad Cities 1,4/25/1982,Two EDGs inoperable,1.00E-04,https://www.nrc.gov/docs/ML2015/ML20156A145.pdf
Fort Calhoun,4/11/1982,Three of four CCW heat exchangers inoperable,6.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K339.pdf
Peach Bottom 3,4/10/1982,Reactor trip with an RHR pump unavailable due failure of room cooling,3.00E-06,https://www.nrc.gov/docs/ML2015/ML20156A124.pdf
Zion 2,4/9/1982,Both MDAFW pumps unavailable due to lack of cooling water,3.00E-05,https://www.nrc.gov/docs/ML2016/ML20161A180.pdf
Sequoyah 1,4/8/1982,One MDAFW pump and one EDG inoperable,3.00E-05,https://www.nrc.gov/docs/ML2015/ML20156A221.pdf
Brunswick 1,3/25/1982,Both RHRSW loops simultaneously inoperable,5.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A361.pdf
Fitzpatrick,3/12/1982,Trip with HPCI system inoperable,5.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K333.pdf
North Anna 2,3/8/1982,PORVs inoperable due to low nitrogen pressure,4.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K480.pdf
Brunswick 1,2/18/1982,Reactor trip with subsequent failure of RCIC,1.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A360.pdf
Brunswick 2,2/3/1982,Reactor trip with the RHRSW system inoperable,3.00E-05,https://www.nrc.gov/docs/ML2014/ML20147A472.pdf
Hatch 1,2/12/1982,Trip with RCIC inoperable,3.00E-06,https://www.nrc.gov/docs/ML2014/ML20149K350.pdf
